grouping,group,obs_total,pred_mean,pred_sd,q05,q50,q95,z_score,cover50,cover90
global,all,471962,460233.76,4628.785964743341,452656.85,460201.0,467849.8,2.533761571464302,0.0,0.0
region,Australia and New Zealand,11783,11801.809333333333,194.63344976150998,11496.0,11802.5,12120.0,-0.0966397777791038,1.0,1.0
region,Eastern Asia,31195,32156.189333333332,569.8696398509387,31232.9,32152.5,33119.05,-1.686682823785368,0.0,0.0
region,Eastern Europe,15782,14702.566,286.99353041779136,14239.9,14702.5,15167.0,3.7611788615186246,0.0,0.0
region,Latin America and the Caribbean,2370,2383.7566666666667,74.62108052908664,2261.95,2382.0,2507.0,-0.18435362459411764,1.0,1.0
region,Northern America,323335,312622.17,4418.888436750167,305451.6,312611.5,319885.05,2.4243268761676804,0.0,0.0
region,Northern Europe,56285,55474.54466666667,686.7155015907044,54369.9,55444.0,56628.0,1.1801908235011394,0.0,1.0
region,South-eastern Asia,1245,1285.3366666666666,55.43226328379594,1195.95,1285.0,1377.0,-0.7276749004484159,0.0,1.0
region,Southern Asia,1546,1564.472,63.82599042738021,1459.0,1563.0,1670.0,-0.2894118818417242,1.0,1.0
region,Southern Europe,7153,7107.825333333333,139.3247085330791,6870.0,7108.0,7339.05,0.3242401663158061,1.0,1.0
region,Sub-Saharan Africa,84,87.26866666666666,13.402048157605181,66.95,87.0,110.0,-0.24389306979260555,1.0,1.0
region,Western Asia,6096,6073.8,132.6017577212576,5856.75,6072.0,6294.0,0.16741859520947286,1.0,1.0
region,Western Europe,15088,14974.021333333334,237.17844890005782,14583.8,14974.5,15359.3,0.480560806410764,1.0,1.0
sex_label,Female,170930,167848.65066666665,2140.107114984814,164369.65,167791.5,171356.35,1.4398107981409198,0.0,1.0
sex_label,Male,301032,292385.1093333333,3882.8531889970322,285837.7,292402.5,298834.85,2.2269424687932187,0.0,0.0
age_band,10s,3015,3195.2373333333335,98.63927282604695,3039.95,3192.5,3360.05,-1.827237044328043,0.0,0.0
age_band,20s,21285,20955.054666666667,332.8106914084433,20419.8,20957.0,21515.1,0.9913904266026308,0.0,1.0
age_band,30s,103106,96897.96866666667,1248.0059129897832,94847.15,96957.0,98883.1,4.974360512812854,0.0,0.0
age_band,40s,344556,339185.49933333334,4235.489299447786,332420.25,339127.0,346339.8,1.2679764454526785,0.0,1.0
